timestamp,appliance_id,appliance_name,usage,user_id
2025-05-29 23:35:52.423050,1,Air Conditioner,0.874,101
2025-05-29 23:50:52.423050,1,Air Conditioner,0.779,101
2025-05-30 00:05:52.423050,1,Air Conditioner,0.021,101
2025-05-30 00:20:52.423050,1,Air Conditioner,0.106,101
2025-05-30 00:35:52.423050,1,Air Conditioner,0.125,101
2025-05-30 00:50:52.423050,1,Air Conditioner,0.053,101
2025-05-30 01:05:52.423050,1,Air Conditioner,0.114,101
2025-05-30 01:20:52.423050,1,Air Conditioner,0.003,101
2025-05-30 01:35:52.423050,1,Air Conditioner,0.16,101
2025-05-30 01:50:52.423050,1,Air Conditioner,0.137,101
2025-05-30 02:05:52.423050,1,Air Conditioner,0.065,101
2025-05-30 02:20:52.423050,1,Air Conditioner,0.095,101
2025-05-30 02:35:52.423050,1,Air Conditioner,0.082,101
2025-05-30 02:50:52.423050,1,Air Conditioner,0.118,101
2025-05-30 03:05:52.423050,1,Air Conditioner,0.104,101
2025-05-30 03:20:52.423050,1,Air Conditioner,0.069,101
2025-05-30 03:35:52.423050,1,Air Conditioner,0.105,101
2025-05-30 03:50:52.423050,1,Air Conditioner,0.12,101
2025-05-30 04:05:52.423050,1,Air Conditioner,0.014,101
2025-05-30 04:20:52.423050,1,Air Conditioner,0.08,101
2025-05-30 04:35:52.423050,1,Air Conditioner,0.139,101
2025-05-30 04:50:52.423050,1,Air Conditioner,0.2,101
2025-05-30 05:05:52.423050,1,Air Conditioner,0.027,101
2025-05-30 05:20:52.423050,1,Air Conditioner,0.009,101
2025-05-30 05:35:52.423050,1,Air Conditioner,0.133,101
2025-05-30 05:50:52.423050,1,Air Conditioner,0.023,101
2025-05-30 06:05:52.423050,1,Air Conditioner,0.115,101
2025-05-30 06:20:52.423050,1,Air Conditioner,0.026,101
2025-05-30 06:35:52.423050,1,Air Conditioner,0.074,101
2025-05-30 06:50:52.423050,1,Air Conditioner,0.02,101
2025-05-30 07:05:52.423050,1,Air Conditioner,0.068,101
2025-05-30 07:20:52.423050,1,Air Conditioner,0.057,101
2025-05-30 07:35:52.423050,1,Air Conditioner,0.05,101
2025-05-30 07:50:52.423050,1,Air Conditioner,0.045,101
2025-05-30 08:05:52.423050,1,Air Conditioner,0.109,101
2025-05-30 08:20:52.423050,1,Air Conditioner,0.177,101
2025-05-30 08:35:52.423050,1,Air Conditioner,0.031,101
2025-05-30 08:50:52.423050,1,Air Conditioner,0.093,101
2025-05-30 09:05:52.423050,1,Air Conditioner,0.011,101
2025-05-30 09:20:52.423050,1,Air Conditioner,0.087,101
2025-05-30 09:35:52.423050,1,Air Conditioner,0.135,101
2025-05-30 09:50:52.423050,1,Air Conditioner,0.169,101
2025-05-30 10:05:52.423050,1,Air Conditioner,0.424,101
2025-05-30 10:20:52.423050,1,Air Conditioner,0.409,101
2025-05-30 10:35:52.423050,1,Air Conditioner,0.484,101
2025-05-30 10:50:52.423050,1,Air Conditioner,0.53,101
2025-05-30 11:05:52.423050,1,Air Conditioner,0.486,101
2025-05-30 11:20:52.423050,1,Air Conditioner,0.453,101
2025-05-30 11:35:52.423050,1,Air Conditioner,0.478,101
2025-05-30 11:50:52.423050,1,Air Conditioner,0.461,101
2025-05-30 12:05:52.423050,1,Air Conditioner,0.437,101
2025-05-30 12:20:52.423050,1,Air Conditioner,0.551,101
2025-05-30 12:35:52.423050,1,Air Conditioner,0.498,101
2025-05-30 12:50:52.423050,1,Air Conditioner,0.524,101
2025-05-30 13:05:52.423050,1,Air Conditioner,0.555,101
2025-05-30 13:20:52.423050,1,Air Conditioner,0.453,101
2025-05-30 13:35:52.423050,1,Air Conditioner,0.423,101
2025-05-30 13:50:52.423050,1,Air Conditioner,0.434,101
2025-05-30 14:05:52.423050,1,Air Conditioner,0.469,101
2025-05-30 14:20:52.423050,1,Air Conditioner,0.537,101
2025-05-30 14:35:52.423050,1,Air Conditioner,0.492,101
2025-05-30 14:50:52.423050,1,Air Conditioner,0.438,101
2025-05-30 15:05:52.423050,1,Air Conditioner,0.462,101
2025-05-30 15:20:52.423050,1,Air Conditioner,0.521,101
2025-05-30 15:35:52.423050,1,Air Conditioner,0.594,101
2025-05-30 15:50:52.423050,1,Air Conditioner,0.412,101
2025-05-30 16:05:52.423050,1,Air Conditioner,0.552,101
2025-05-30 16:20:52.423050,1,Air Conditioner,0.528,101
2025-05-30 16:35:52.423050,1,Air Conditioner,0.553,101
2025-05-30 16:50:52.423050,1,Air Conditioner,0.435,101
2025-05-30 17:05:52.423050,1,Air Conditioner,0.455,101
2025-05-30 17:20:52.423050,1,Air Conditioner,0.574,101
2025-05-30 17:35:52.423050,1,Air Conditioner,0.43,101
2025-05-30 17:50:52.423050,1,Air Conditioner,0.55,101
2025-05-30 18:05:52.423050,1,Air Conditioner,0.705,101
2025-05-30 18:20:52.423050,1,Air Conditioner,0.778,101
2025-05-30 18:35:52.423050,1,Air Conditioner,0.841,101
2025-05-30 18:50:52.423050,1,Air Conditioner,0.903,101
2025-05-30 19:05:52.423050,1,Air Conditioner,0.841,101
2025-05-30 19:20:52.423050,1,Air Conditioner,0.784,101
2025-05-30 19:35:52.423050,1,Air Conditioner,0.7,101
2025-05-30 19:50:52.423050,1,Air Conditioner,0.73,101
2025-05-30 20:05:52.423050,1,Air Conditioner,0.832,101
2025-05-30 20:20:52.423050,1,Air Conditioner,0.843,101
2025-05-30 20:35:52.423050,1,Air Conditioner,0.811,101
2025-05-30 20:50:52.423050,1,Air Conditioner,0.828,101
2025-05-30 21:05:52.423050,1,Air Conditioner,0.798,101
2025-05-30 21:20:52.423050,1,Air Conditioner,0.679,101
2025-05-30 21:35:52.423050,1,Air Conditioner,0.895,101
2025-05-30 21:50:52.423050,1,Air Conditioner,0.808,101
2025-05-30 22:05:52.423050,1,Air Conditioner,0.76,101
2025-05-30 22:20:52.423050,1,Air Conditioner,0.776,101
2025-05-30 22:35:52.423050,1,Air Conditioner,0.766,101
2025-05-30 22:50:52.423050,1,Air Conditioner,0.768,101
2025-05-30 23:05:52.423050,1,Air Conditioner,0.791,101
2025-05-30 23:20:52.423050,1,Air Conditioner,0.767,101
2025-05-30 23:35:52.423050,1,Air Conditioner,0.905,101
2025-05-30 23:50:52.423050,1,Air Conditioner,0.761,101
2025-05-31 00:05:52.423050,1,Air Conditioner,0.049,101
2025-05-31 00:20:52.423050,1,Air Conditioner,0.078,101
2025-05-31 00:35:52.423050,1,Air Conditioner,0.066,101
2025-05-31 00:50:52.423050,1,Air Conditioner,0.03,101
2025-05-31 01:05:52.423050,1,Air Conditioner,0.083,101
2025-05-31 01:20:52.423050,1,Air Conditioner,0.137,101
2025-05-31 01:35:52.423050,1,Air Conditioner,0.071,101
2025-05-31 01:50:52.423050,1,Air Conditioner,0.031,101
2025-05-31 02:05:52.423050,1,Air Conditioner,0.012,101
2025-05-31 02:20:52.423050,1,Air Conditioner,0.07,101
2025-05-31 02:35:52.423050,1,Air Conditioner,0.007,101
2025-05-31 02:50:52.423050,1,Air Conditioner,0.047,101
2025-05-31 03:05:52.423050,1,Air Conditioner,0.088,101
2025-05-31 03:20:52.423050,1,Air Conditioner,0.101,101
2025-05-31 03:35:52.423050,1,Air Conditioner,0.039,101
2025-05-31 03:50:52.423050,1,Air Conditioner,0.058,101
2025-05-31 04:05:52.423050,1,Air Conditioner,0.035,101
2025-05-31 04:20:52.423050,1,Air Conditioner,0.088,101
2025-05-31 04:35:52.423050,1,Air Conditioner,0.066,101
2025-05-31 04:50:52.423050,1,Air Conditioner,0.066,101
2025-05-31 05:05:52.423050,1,Air Conditioner,0.005,101
2025-05-31 05:20:52.423050,1,Air Conditioner,0.021,101
2025-05-31 05:35:52.423050,1,Air Conditioner,0.141,101
2025-05-31 05:50:52.423050,1,Air Conditioner,0.145,101
2025-05-31 06:05:52.423050,1,Air Conditioner,0.087,101
2025-05-31 06:20:52.423050,1,Air Conditioner,0.165,101
2025-05-31 06:35:52.423050,1,Air Conditioner,0.115,101
2025-05-31 06:50:52.423050,1,Air Conditioner,0.037,101
2025-05-31 07:05:52.423050,1,Air Conditioner,0.04,101
2025-05-31 07:20:52.423050,1,Air Conditioner,0.124,101
2025-05-31 07:35:52.423050,1,Air Conditioner,0.03,101
2025-05-31 07:50:52.423050,1,Air Conditioner,0.082,101
2025-05-31 08:05:52.423050,1,Air Conditioner,0.005,101
2025-05-31 08:20:52.423050,1,Air Conditioner,0.099,101
2025-05-31 08:35:52.423050,1,Air Conditioner,0.074,101
2025-05-31 08:50:52.423050,1,Air Conditioner,0.067,101
2025-05-31 09:05:52.423050,1,Air Conditioner,0.064,101
2025-05-31 09:20:52.423050,1,Air Conditioner,0.037,101
2025-05-31 09:35:52.423050,1,Air Conditioner,0.025,101
